chunk_id,max_alignment_size
12080_sent_155_157,83
11820_sent_565_567,53
11820_sent_473_475,45
6187_sent_138_140,13
11820_sent_800_802,137
13088_sent_21_23,57
12408_sent_4,11
11593_sent_445_447,55
10067_sent_151_153,81
13088_sent_22_24,57
11326_sent_31_33,108
11820_sent_348,11
11148_sent_140,59
11326_sent_33_35,108
13088_sent_71,91
10067_sent_152_154,81
11820_sent_108_110,24
11591_sent_204_206,48
10404_sent_41,15
11826_sent_47_49,29
12408_sent_65_67,38
12080_sent_227_229,70
11689_sent_19_21,38
11820_sent_349_351,42
11591_sent_2_4,62
10053_sent_323_325,26
11826_sent_97_99,15
11591_sent_83,54
10404_sent_29_31,83
13088_sent_205,31
11689_sent_217_219,77
10041_sent_196_198,7
11820_sent_849,106
11968_sent_15_17,51
12080_sent_264_266,137
11150_sent_73_75,17
11755_sent_76_78,47
11820_sent_15_17,17
11820_sent_633_635,44
11689_sent_216_218,77
12080_sent_133,65
11326_sent_21_23,100
10015_sent_71_73,38
6187_sent_152_154,39
2435_sent_129_131,57
11820_sent_849_851,106
10067_sent_88_90,35
10015_sent_181_183,48
11150_sent_51_53,47
11689_sent_15_17,61
11148_sent_178_180,21
10501_sent_54_56,18
11820_sent_589,16
11755_sent_101_103,19
12080_sent_133_135,65
3904_sent_34_36,67
11591_sent_203_205,48
11689_sent_211_213,60
12080_sent_190_192,41
6187_sent_1,28
2801_sent_120_122,43
10041_sent_197_199,13
12080_sent_202_204,72
11689_sent_186_188,45
11826_sent_24_26,12
6187_sent_208_210,69
12080_sent_189_191,100
6187_sent_137_139,13
10067_sent_141_143,29
11820_sent_870_872,17
11148_sent_406_408,91
6187_sent_209_211,69
11968_sent_16,43
11591_sent_138_140,66
6187_sent_227_229,57
12080_sent_154_156,46
13088_sent_69_71,91
10067_sent_46_48,42
12080_sent_223_225,47
10067_sent_22,65
11148_sent_479_481,47
11820_sent_847,80
10067_sent_48,42
11591_sent_4_6,62
11689_sent_201,36
11591_sent_139,66
10454_sent_66,48
10454_sent_12,8
12448_sent_54,8
2435_sent_329_331,57
11820_sent_665_667,29
2435_sent_320_322,59
11820_sent_103,27
12874_sent_88_90,63
11150_sent_74_76,22
12080_sent_157,83
3405_sent_58_60,24
12080_sent_1_3,58
11591_sent_3_5,62
12080_sent_132_134,65
12080_sent_265_267,137
10053_sent_324,26
11820_sent_133,30
12448_sent_45_47,20
11689_sent_203_205,77
6187_sent_139,13
12080_sent_437_439,72
11820_sent_348_350,42
10506_sent_55_57,33
11337_sent_56_58,40
12080_sent_161_163,106
12697_sent_2_4,18
11212_sent_7_9,41
11148_sent_487_489,11
6187_sent_430_432,30
6187_sent_160_162,62
11593_sent_404_406,53
11372_sent_5_7,55
10015_sent_45_47,67
11820_sent_337_339,29
13088_sent_20_22,57
6187_sent_66_68,14
11820_sent_871_873,17
11591_sent_137_139,66
11820_sent_102_104,27
10065_sent_6_8,22
12448_sent_135_137,35
11820_sent_588_590,63
11820_sent_153_155,42
11689_sent_185_187,45
11826_sent_143_145,44
11372_sent_34_36,68
