chunk_id,max_alignment_size
10518_sent_57_59,50
12080_sent_189_191,116
11826_sent_24_26,117
12697_sent_20_22,32
6187_sent_209_211,70
10067_sent_147,88
11593_sent_103_105,89
6187_sent_235_237,65
11591_sent_138_140,74
6187_sent_227_229,49
12080_sent_154_156,47
11689_sent_214,43
11820_sent_580_582,142
11689_sent_112_114,137
2435_sent_339,56
11820_sent_847,97
12080_sent_223_225,150
11820_sent_676,63
11591_sent_139,74
11593_sent_391_393,92
2435_sent_341_343,63
10484_sent_12_14,158
12805_sent_29,57
12080_sent_221_223,150
2435_sent_329_331,106
12080_sent_342_344,126
11591_sent_60,77
11593_sent_116_118,72
12080_sent_157,119
11820_sent_605_607,85
11148_sent_205_207,58
12080_sent_265_267,175
2435_sent_241_243,100
11820_sent_436_438,52
11755_sent_36_38,37
11689_sent_203_205,78
12080_sent_437_439,70
11593_sent_158_160,83
10067_sent_63_65,27
12080_sent_161_163,121
3405_sent_93_95,73
11820_sent_431_433,124
12448_sent_113_115,21
11689_sent_113_115,85
11593_sent_404_406,99
10015_sent_45_47,71
12080_sent_35,43
10067_sent_63,27
13088_sent_20_22,66
11689_sent_49_51,54
10015_sent_160_162,101
12805_sent_34_36,37
12805_sent_29_31,57
5473_sent_11_13,63
2435_sent_240_242,100
12080_sent_159,59
6187_sent_365_367,112
6187_sent_66_68,20
11820_sent_256,14
11591_sent_137_139,74
11820_sent_699,53
12080_sent_163,91
12080_sent_215,93
11820_sent_697_699,60
10067_sent_147_149,114
11689_sent_185_187,33
11820_sent_153_155,64
12080_sent_162,28
3904_sent_54_56,83
12697_sent_18_20,26
10041_sent_287_289,79
11593_sent_464_466,87
12080_sent_205_207,106
12265_sent_20_22,52
11820_sent_578_580,142
11820_sent_487,27
12080_sent_218,73
11689_sent_166,24
12448_sent_55_57,20
11593_sent_99,35
11689_sent_136_138,127
11593_sent_535_537,100
11689_sent_16,72
6187_sent_366_368,112
2801_sent_178_180,97
12080_sent_212,68
9183_sent_8_10,149
2801_sent_176_178,38
11593_sent_164_166,96
11591_sent_59,47
12448_sent_55,20
11820_sent_370_372,74
11689_sent_213_215,43
11820_sent_775_777,28
12080_sent_33_35,53
2435_sent_87_89,26
11591_sent_309_311,71
3405_sent_95_97,64
13088_sent_112_114,41
11990_sent_17_19,71
6187_sent_228_230,49
12080_sent_203_205,106
11591_sent_151_153,121
11820_sent_528_530,73
11689_sent_137,127
11150_sent_10,97
11820_sent_828,36
12805_sent_33_35,37
10936_sent_12_14,40
9183_sent_9,149
9780_sent_14_16,86
11826_sent_22_24,52
12080_sent_439_441,68
12080_sent_214_216,142
10518_sent_117_119,41
10518_sent_79_81,59
2801_sent_131_133,105
11593_sent_406_408,92
11820_sent_808_810,23
11820_sent_634,112
10041_sent_126_128,40
11150_sent_49_51,76
12080_sent_506_508,149
12448_sent_2_4,63
11689_sent_77_79,144
11820_sent_601_603,71
11820_sent_160_162,30
10015_sent_169_171,137
11820_sent_256_258,28
11593_sent_99_101,35
11820_sent_773_775,53
11820_sent_595_597,65
12080_sent_29_31,85
12080_sent_505_507,149
12080_sent_438_440,70
10015_sent_170,137
11150_sent_33_35,105
11820_sent_675_677,82
11591_sent_23_25,76
12080_sent_337,114
6187_sent_84_86,82
6187_sent_95_97,96
11820_sent_12_14,11
11689_sent_32_34,105
11820_sent_634_636,112
11820_sent_187_189,122
12265_sent_47,48
12080_sent_73_75,41
11820_sent_597,65
10067_sent_180_182,72
10015_sent_170_172,137
6284_sent_14_16,69
11820_sent_379_381,88
12080_sent_406_408,9
12697_sent_20,26
12080_sent_337_339,114
10041_sent_297_299,36
11150_sent_29_31,170
11820_sent_124_126,59
11818_sent_45_47,30
11820_sent_416_418,98
11820_sent_707_709,64
11820_sent_189_191,122
12080_sent_185_187,88
12080_sent_343_345,126
10518_sent_119,40
12080_sent_367_369,105
12080_sent_87_89,91
11593_sent_101_103,89
11593_sent_28_30,56
